user_id,username,password,role
U000000213,singletonrichard,9HRE89JJ,CUSTOMER
U000000218,robert36,JujueWoH,CUSTOMER
U000000273,hbush,KQp8xvGd,CUSTOMER
U000000304,rosscarla,0Ys6no4W,CUSTOMER
U000000371,marquezbrian,MtMmn7P6,CUSTOMER
U000000431,hillcorey,VjivvzJr,CUSTOMER
U000000555,jakepeterson,4oFZQOaB,CUSTOMER
U000000650,rothkendra,Ug2Nn2y0,CUSTOMER
U000000662,kimberly91,7mLQBXiC,CUSTOMER
U000000749,ysmith,BdGLwWw3,CUSTOMER
U000000777,brendanmaxwell,OzsKhuWW,CUSTOMER
U000000863,adamhebert,CsJ4PkL1,CUSTOMER
U000000945,codypayne,iOquvdB3,CUSTOMER
U000001041,jacquelinehernandez,SKDNf6Ut,CUSTOMER
U000001103,frankgreen,w9e5ya3o,CUSTOMER
U000001122,christophermcconnell,APThJKUh,CUSTOMER
U000001213,gcollins,r3ztmpO7,CUSTOMER
U000001329,adrian83,EakTwRcL,CUSTOMER
U000002616,ijones,B53bOGfG,CUSTOMER
U000001537,bakerdavid,Xa9LFEdA,CUSTOMER
U000001662,kathy60,UHqAnsGC,CUSTOMER
U000001813,kellyvalerie,S17xpnPh,CUSTOMER
U000001842,jacksonkatherine,O1yCeTWn,CUSTOMER
U000001916,markchan,js52Jaxi,CUSTOMER
U000002210,irobertson,EPtNUJZu,CUSTOMER
U000002321,michael78,M4MCBtvq,CUSTOMER
U000002451,frank90,VRgDj7YO,CUSTOMER
U000002458,murphycory,zM5lxGmm,CUSTOMER
U000002484,erika91,bQNsgsBB,CUSTOMER
U000006740,cgrant,KGLh5fba,CUSTOMER
U000002512,joseph17,k1NkUCQF,CUSTOMER
U000002516,washingtonlawrence,2dEaiHVr,CUSTOMER
U000002529,karen31,RxpJ5sOi,CUSTOMER
U000002601,mullinswilliam,mJbPoCar,CUSTOMER
U000003376,zhunter,Jy5C0GQr,CUSTOMER
U000003491,sarawatson,dxNuZobn,CUSTOMER
U000003495,smithmelanie,xW194ZkJ,CUSTOMER
U000003575,grosales,emg7U5WK,CUSTOMER
U000003737,wtorres,d6mirtqf,CUSTOMER
U000003911,xstewart,lGSckxJa,CUSTOMER
U000004047,scottlaura,tC1kb0j2,CUSTOMER
U000004469,gerald21,4r0mQInA,CUSTOMER
U000004665,armstronggloria,1TqQBmS0,CUSTOMER
U000004912,parsonsemily,F0NDR5zT,CUSTOMER
U000004990,chapmanjoy,BBTVT6JS,CUSTOMER
U000005029,rconrad,mZl3y4RO,CUSTOMER
U000005124,romerocarrie,Mb4D7gpC,CUSTOMER
U000005225,mandyevans,PXURuAyi,CUSTOMER
U000005271,krausekara,1WjhaHPM,CUSTOMER
U000005295,harriskimberly,3mQnT2yV,CUSTOMER
U000005346,barkerlaura,sVAH2aR8,CUSTOMER
